,OR112,OR36,OR29,OR59,OR38,OR94,OR44,OR45,OR34,OR25,OR20,OR21,OR28,OR40,OR49,OR19,OR35,OR43,OR32,OR30,OR23,OR18,OR120,OR24,OR26,OR27,OR37,OR48,OR41,OR42,OR53,OR39,OR31,OR33,OR17,OR14,OR15,OR13,OR16,OR3,OR4,OR6,OR10,OR11,OR12,OR8,OR9,OR5,OR7,OR90,OR54,OR58,OR87,OR57,OR55,OR56,OR80,OR76,OR86,OR118,OR160,OR73,OR114,OR83,OR78,OR147,OR157,OR69,OR70,OR52,OR79,OR51,OR64,OR98,OR62,OR65,OR75,OR50,OR93,OR67,OR77,OR109,OR63,OR88,OR60,OR61,OR104,OR89,OR116,OR68,OR71,OR96,OR95,OR105,OR113,OR91,OR81,OR85,OR97,OR129,OR130,OR128,OR132,OR111,OR92,OR102,OR106,OR108,OR110,OR82,OR66,OR117,OR72,OR84,OR119,OR175,OR173,OR174,OR172,OR168,OR171,OR176,OR169,OR170,OR166,OR167,OR127,OR124,OR125,OR201,OR199,OR200,OR197,OR198,ORco,ORco2,OR179,OR180,OR165,OR159,OR192,OR193,OR194,OR178,OR190,OR164,OR163,OR191,OR145,OR177,OR162,OR146,OR195,OR158,OR137,OR136,OR133,OR134,OR135,OR138,OR139,OR141,OR142,OR144,OR140,OR143,OR74,OR123,OR186,OR182,OR188,OR183,OR184,OR187,OR181,OR185,OR189,OR101,OR99,OR100,OR103,OR115,OR161,OR196,OR155,OR156,OR148,OR150,OR151,OR153,OR152,OR154
OR70,46.457,26.486,31.349,41.057,20.424,3.111,15.049,13.35,20.424,18.69,8.761,18.31,20.424,18.304,8.88,19.653,17.761,13.506,19.846,19.846,18.882,19.653,3.883,20.039,19.846,20.039,19.075,28.235,30.493,29.596,27.16,30.493,31.21,32.511,33.933,31.91,32.809,31.166,26.536,33.025,32.87,34.081,32.639,36.538,34.615,33.102,31.91,31.166,33.408,52.133,49.738,49.051,56.065,64.737,65.263,66.579,60.789,60.789,56.43,80.408,64.828,79.211,68.882,72.368,75.526,47.105,88.889,90.263,,55.906,36.684,57.743,55.118,64.088,55.906,55.118,61.811,54.856,49.869,55.381,61.811,64.088,56.43,64.103,58.892,59.843,51.587,23.298,21.99,27.154,26.563,23.316,22.857,23.377,5.618,25.0,25.131,24.346,25.549,5.556,5.556,15.234,5.505,24.274,23.822,19.868,23.699,24.346,28.994,24.543,27.225,0.0,28.46,26.873,25.817,9.343,15.443,13.793,14.43,14.43,15.282,0.0,15.19,15.0,15.443,15.19,18.519,16.341,16.545,14.557,10.417,10.417,16.707,15.981,13.142,13.142,17.839,17.839,16.031,15.352,16.708,16.465,0.0,15.271,12.343,15.309,9.596,16.953,15.017,18.5,6.316,14.322,0.0,16.1,21.614,18.627,18.382,20.147,13.851,5.085,5.085,15.403,9.366,0.0,17.199,0.0,33.591,26.289,8.865,14.583,17.033,15.278,15.056,10.738,15.741,16.346,26.316,22.739,19.9,22.084,22.532,22.418,20.5,18.75,14.801,0.0,19.543,20.558,19.289,19.289,19.036,12.928
OR52,47.656,26.4,31.542,41.036,20.0,3.54,14.078,12.621,20.381,21.333,8.735,20.523,21.714,19.429,8.511,19.81,18.269,13.731,19.238,20.19,20.381,20.952,3.865,20.19,20.0,20.19,19.048,28.516,32.594,32.373,26.23,35.698,31.429,34.146,36.629,37.303,36.854,33.705,30.168,36.092,36.175,35.714,34.793,38.038,35.885,34.793,34.389,35.938,36.384,47.393,46.597,45.257,50.543,58.09,58.621,59.151,53.05,55.091,53.125,51.429,42.268,53.543,43.976,52.972,52.713,33.854,64.646,57.48,55.906,,51.246,76.517,71.504,76.796,73.615,73.087,74.409,75.871,68.602,74.67,77.559,81.768,74.142,78.974,62.353,62.76,45.238,23.747,21.9,28.01,27.249,21.558,22.917,21.875,6.18,25.33,25.722,25.197,26.446,4.63,4.63,17.969,4.587,23.81,24.934,20.93,25.217,22.997,28.783,24.869,26.247,0.0,27.937,26.943,28.053,10.66,13.995,12.644,17.557,17.557,18.598,0.0,18.066,17.839,16.539,16.794,16.04,16.873,16.089,15.69,9.375,9.375,16.229,16.706,13.497,13.497,17.391,16.88,15.113,15.957,14.842,14.628,0.0,17.561,13.636,16.216,9.091,16.626,13.058,18.812,6.316,16.794,0.0,16.404,19.658,16.99,18.204,17.762,13.605,4.52,4.52,15.012,8.761,0.0,16.545,0.0,39.394,29.146,9.929,15.753,18.378,14.84,14.412,11.745,14.612,17.572,30.476,21.835,21.696,21.891,22.335,23.99,23.21,18.799,14.079,0.0,19.338,19.847,21.12,19.847,19.084,13.688
OR79,46.875,43.127,43.624,46.559,29.772,16.667,29.004,27.489,30.823,31.524,25.654,30.165,30.823,28.546,20.567,30.298,29.152,27.523,30.473,31.349,30.473,31.173,15.444,30.473,30.473,30.648,29.247,25.789,29.72,29.196,25.272,33.217,29.157,31.119,32.513,32.865,32.337,30.769,26.349,31.664,31.72,32.867,32.079,30.228,28.471,31.183,30.511,31.818,31.643,25.693,31.69,30.631,31.769,37.478,37.478,37.655,33.748,35.398,36.219,27.842,25.786,34.392,27.799,35.852,35.325,22.261,63.636,37.037,36.684,51.246,,48.754,46.975,37.057,47.865,47.331,42.955,47.857,45.018,49.466,44.091,39.237,49.288,39.37,39.924,40.283,57.143,40.526,40.526,43.455,42.597,39.481,40.365,39.844,43.82,42.48,42.52,42.257,38.845,35.648,35.648,39.535,31.364,39.211,41.207,40.864,41.739,38.381,41.246,45.026,41.732,38.158,45.692,41.969,32.919,22.5,29.073,29.178,28.678,29.177,26.683,31.538,31.078,30.693,28.07,27.82,32.506,29.73,29.167,27.637,30.556,29.861,30.12,29.398,27.515,27.515,31.552,33.842,29.146,27.021,30.147,29.71,45.918,33.415,30.457,33.088,43.719,32.353,33.447,31.172,35.417,30.303,35.971,31.746,30.659,33.171,33.171,33.252,35.135,39.106,39.106,32.36,28.529,37.162,32.274,38.095,40.385,27.692,32.526,30.068,27.014,28.929,28.097,33.333,29.613,26.267,26.84,31.742,36.341,38.686,39.848,38.889,38.903,34.197,40.714,43.182,34.343,36.111,36.616,35.101,34.596,38.346
OR51,52.344,26.4,32.756,43.426,21.143,3.097,14.806,13.592,21.143,20.762,9.036,19.517,21.143,18.857,8.704,20.19,19.231,13.212,20.381,19.81,20.952,20.381,3.382,20.952,20.571,20.762,20.0,31.25,32.594,31.264,28.279,36.807,32.381,36.585,34.157,35.73,35.056,33.259,29.888,35.632,35.714,36.384,35.484,38.756,36.364,35.945,36.199,35.938,36.607,47.867,44.241,42.818,48.913,56.499,56.233,58.09,52.52,53.264,51.302,50.204,42.955,52.756,44.88,52.196,53.23,33.333,67.677,57.743,57.743,76.517,48.754,,73.879,80.11,74.67,73.879,75.591,77.48,71.504,77.309,79.528,83.978,76.517,81.026,63.235,61.719,40.476,23.219,23.483,27.749,28.021,22.078,23.438,22.917,5.618,25.858,25.722,25.459,26.722,5.556,5.556,17.188,5.505,22.751,24.672,21.595,23.188,21.705,26.409,24.607,25.197,0.0,24.804,25.389,27.393,11.421,14.249,12.356,17.303,17.303,18.329,0.0,17.557,17.337,16.285,16.031,15.789,15.633,14.604,14.854,9.375,9.722,16.229,15.99,13.497,13.497,15.09,15.857,15.617,14.468,14.599,14.388,0.0,19.756,15.657,16.708,10.606,18.826,12.715,17.079,5.263,14.758,0.0,15.056,19.658,16.505,16.505,17.275,12.925,3.955,3.955,15.738,7.855,0.0,16.302,0.0,37.879,29.648,10.284,14.84,17.027,14.155,13.969,11.074,13.927,16.454,30.952,21.964,22.693,21.144,21.574,22.98,21.235,18.016,15.162,0.0,17.812,19.084,18.066,17.303,17.048,12.548
OR64,51.563,25.867,32.409,41.434,20.571,3.54,16.019,14.563,20.19,21.333,9.337,19.718,20.571,17.524,9.865,20.762,19.231,14.508,20.0,19.619,20.571,21.524,3.865,20.381,20.19,20.381,19.238,30.859,31.929,29.268,27.869,35.033,32.381,34.59,34.382,35.281,35.73,32.143,29.05,33.793,33.871,34.152,33.18,36.364,33.971,33.41,32.579,33.482,34.821,52.607,47.644,46.341,48.37,54.111,55.172,55.172,49.602,50.131,53.906,48.571,43.643,53.281,46.386,52.713,54.005,35.417,69.697,55.906,55.118,71.504,46.975,73.879,,80.11,74.67,73.879,83.071,77.748,69.921,76.781,82.283,83.978,79.42,86.154,61.471,64.323,45.238,21.9,20.053,24.084,24.679,20.779,22.135,22.135,5.056,24.274,24.934,24.147,25.344,5.556,5.556,18.359,5.505,22.222,23.622,18.937,21.739,21.189,25.519,26.702,24.934,0.0,24.021,25.907,24.092,11.168,14.504,12.644,16.539,16.539,17.52,0.0,16.794,16.583,16.285,16.031,14.286,15.633,15.347,15.272,10.069,10.069,13.365,12.649,13.292,13.292,16.368,16.88,16.625,15.532,16.302,16.067,0.0,18.78,14.394,15.725,10.101,16.626,13.058,16.089,6.842,15.522,0.0,15.955,18.234,16.748,17.961,18.735,13.605,4.52,4.52,14.286,7.553,0.0,15.085,0.0,35.985,26.633,10.638,15.297,17.568,14.612,14.191,10.067,14.155,16.294,29.048,21.964,20.449,19.403,19.797,23.485,22.716,15.927,15.523,0.0,19.847,19.338,19.084,18.83,18.83,14.449
OR98,49.219,7.101,26.146,28.889,6.27,3.097,6.583,4.702,6.27,6.27,5.956,6.27,5.956,4.702,6.583,6.583,6.583,6.583,6.27,6.27,5.956,6.27,3.382,6.583,6.27,6.27,4.389,28.049,27.236,26.829,27.869,26.829,26.423,26.829,25.61,26.423,26.016,27.236,26.016,25.751,25.862,27.236,25.862,29.63,25.0,25.431,26.829,26.423,26.016,50.829,50.829,49.405,44.681,58.564,59.669,60.773,48.066,59.444,60.221,62.222,53.846,59.116,40.152,59.116,61.326,48.066,69.697,63.536,64.088,76.796,37.057,80.11,80.11,,100.0,98.343,83.978,85.635,87.293,87.293,87.293,87.293,87.845,86.74,65.746,70.166,30.909,7.692,7.143,7.104,7.65,5.946,6.486,5.946,4.494,7.222,8.242,7.692,8.537,2.21,2.21,6.557,2.186,6.704,6.077,6.077,6.63,6.077,7.971,4.396,4.396,0.0,4.945,7.527,11.828,1.613,3.933,4.494,2.247,2.247,2.564,0.0,3.371,3.279,4.494,4.494,3.743,2.66,2.646,3.279,3.947,3.947,2.732,2.186,2.734,2.734,3.867,3.315,5.028,4.4,5.495,5.495,0.0,6.63,6.63,5.556,6.593,6.593,5.028,4.972,4.444,2.747,0.0,4.128,8.197,6.077,4.918,4.396,4.945,3.39,3.39,3.825,4.972,0.0,3.867,0.0,30.435,0.0,3.646,4.615,5.512,4.103,4.103,3.646,4.615,13.918,30.952,17.647,3.704,4.762,4.972,3.743,4.762,5.914,6.011,0.0,6.557,6.011,5.464,5.464,6.011,6.011
OR62,49.219,28.0,32.756,42.231,21.333,3.097,15.777,14.32,21.333,21.333,8.133,20.121,21.524,19.048,8.704,20.571,19.231,13.731,20.952,21.333,21.714,22.095,3.382,21.905,21.714,21.714,20.571,29.297,32.594,31.264,27.869,34.368,30.476,34.146,33.034,33.483,33.258,33.929,28.771,34.253,34.332,34.152,33.641,37.081,34.689,34.562,33.032,33.705,34.598,48.815,47.12,46.341,48.098,54.642,55.968,55.172,49.072,51.697,52.865,48.163,41.924,51.181,42.169,49.871,51.163,33.854,69.697,56.955,55.906,73.615,47.865,74.67,74.67,100.0,,99.208,83.071,81.769,75.726,83.113,84.646,87.293,82.586,87.692,59.118,61.719,42.857,22.691,21.636,26.44,27.506,21.039,21.615,20.573,4.494,24.802,24.934,23.885,25.069,3.704,3.704,16.406,3.67,22.751,23.36,18.605,24.928,21.964,26.113,24.084,25.984,0.0,25.587,25.648,25.083,11.168,13.995,11.207,16.539,16.539,17.52,0.0,17.048,16.834,16.031,16.285,14.536,16.377,15.594,15.481,8.681,8.681,14.32,13.365,14.315,14.315,14.834,15.345,16.121,14.681,16.302,16.067,0.0,17.805,13.889,15.479,9.091,16.626,12.371,16.584,6.842,15.013,0.0,13.483,21.083,17.718,19.417,19.221,13.605,3.39,3.39,13.075,6.344,0.0,15.328,0.0,37.5,31.658,9.929,15.753,18.108,15.297,14.856,10.738,14.612,16.134,30.952,22.351,20.698,19.154,19.543,22.98,22.222,15.927,14.801,0.0,20.611,20.102,19.338,18.575,17.812,12.548
OR65,49.219,28.0,32.236,42.231,21.456,3.139,15.892,14.425,21.456,21.456,8.207,20.243,21.648,19.157,8.755,20.69,19.342,13.838,21.073,21.456,21.839,22.222,3.431,22.031,21.839,21.839,20.69,29.644,32.813,31.473,28.216,34.598,30.769,34.375,33.258,33.71,33.484,34.157,29.014,34.491,34.571,34.382,33.875,37.349,34.94,34.803,33.257,33.933,34.831,47.867,46.597,45.799,48.098,54.377,55.703,54.642,48.541,51.175,52.604,46.939,40.893,50.394,41.265,49.096,50.388,33.854,69.697,56.168,55.118,73.087,47.331,73.879,73.879,98.343,99.208,,81.89,81.233,74.934,82.322,83.465,85.635,81.794,86.154,58.529,61.198,42.857,22.691,21.636,26.44,27.506,21.039,21.615,20.573,4.494,24.802,24.934,23.885,25.069,3.704,3.704,16.406,3.67,22.751,23.36,18.605,24.928,21.964,26.113,24.084,25.984,0.0,25.587,25.648,25.083,11.168,13.995,11.207,16.539,16.539,17.52,0.0,17.048,16.834,16.031,16.285,14.536,16.377,15.594,15.481,8.681,8.681,14.32,13.365,14.315,14.315,14.834,15.345,16.121,14.681,16.302,16.067,0.0,17.805,13.889,15.479,9.091,16.626,12.371,16.584,6.842,15.013,0.0,13.483,21.083,17.718,19.417,19.221,13.605,3.39,3.39,13.075,6.344,0.0,15.328,0.0,37.5,31.658,9.929,15.753,18.108,15.297,14.856,10.738,14.612,16.212,31.401,22.222,20.698,19.154,19.543,22.98,22.222,15.927,14.801,0.0,20.611,20.102,19.338,18.575,17.812,12.548
OR75,47.656,19.835,30.18,43.22,14.541,3.982,15.306,13.52,14.796,15.051,8.735,15.051,14.796,11.224,9.184,15.051,15.051,15.026,14.541,14.796,15.051,16.071,3.865,15.051,14.541,14.796,13.265,28.125,31.034,30.094,25.41,31.661,31.111,31.348,31.348,31.661,31.661,33.856,30.408,32.353,32.459,32.288,31.148,35.64,32.18,31.803,32.915,31.348,33.229,49.763,51.181,51.037,47.893,58.268,60.63,61.024,52.362,56.522,59.449,60.169,44.512,59.449,48.78,59.055,61.417,34.646,67.677,63.386,61.811,74.409,42.955,75.591,83.071,83.978,83.071,81.89,,85.039,74.016,85.039,85.039,85.083,87.795,88.205,65.748,66.929,46.032,17.255,17.647,21.094,21.484,15.891,17.054,15.504,5.056,19.368,18.431,18.039,19.409,4.63,4.63,18.75,4.587,17.46,18.11,17.717,17.323,18.11,21.801,17.188,18.039,0.0,19.608,20.077,23.669,4.633,10.465,11.24,11.628,11.628,12.712,0.0,11.24,11.027,11.628,10.853,11.07,10.662,9.524,12.424,11.458,11.458,10.0,9.259,10.345,10.345,11.719,12.5,14.51,10.542,9.774,9.774,0.0,11.698,11.698,10.985,9.091,10.526,12.121,14.844,6.842,10.821,0.0,12.333,18.841,15.038,14.925,14.981,14.607,3.955,3.955,10.409,7.74,0.0,13.483,0.0,37.302,29.508,12.411,12.281,15.207,11.93,11.93,11.702,12.281,16.527,29.524,20.156,14.981,14.925,15.385,16.541,16.418,15.094,17.176,0.0,17.176,16.412,15.267,13.74,14.122,15.649
OR50,50.0,28.184,33.625,45.714,21.195,3.097,16.99,15.534,22.929,21.773,9.036,20.724,23.121,20.231,9.589,22.158,20.623,15.026,22.351,21.965,23.121,23.314,3.382,22.929,22.929,23.121,22.158,29.297,34.978,32.063,27.459,37.444,32.381,35.65,36.18,36.404,35.506,35.874,30.447,36.721,36.806,36.547,35.88,40.385,37.981,37.5,35.909,36.099,37.444,51.659,48.421,47.411,48.641,53.581,55.968,56.233,50.398,52.255,52.381,46.531,40.893,51.969,44.88,51.444,51.969,32.54,68.687,56.168,54.856,75.871,47.857,77.48,77.748,85.635,81.769,81.233,85.039,,77.48,84.987,87.402,88.398,88.204,89.744,61.471,64.021,45.238,23.219,21.9,27.225,27.415,23.377,23.177,22.396,5.056,26.121,25.459,25.197,26.446,4.167,4.167,18.75,4.128,23.545,25.722,21.595,25.797,23.622,29.08,25.393,25.722,0.0,25.393,25.648,27.723,11.421,14.249,12.644,16.539,16.539,17.52,0.0,17.303,17.085,16.285,15.776,17.043,16.873,16.337,17.161,10.069,10.069,15.981,15.254,12.371,12.371,15.857,16.368,15.601,16.06,16.049,15.815,0.0,18.564,14.103,17.122,9.091,18.519,12.371,18.342,6.842,14.249,0.0,16.173,21.739,18.227,19.212,18.765,14.626,3.955,3.955,16.216,7.251,0.0,17.778,0.0,39.147,33.679,10.993,16.667,19.231,15.509,15.281,11.409,15.046,16.29,27.619,22.093,21.945,19.9,20.305,20.96,21.554,19.06,17.69,0.0,20.865,20.865,20.611,19.847,19.593,15.589
OR93,49.219,20.8,28.423,33.068,16.952,3.54,11.408,9.709,17.333,17.714,8.133,16.097,17.524,14.914,8.502,16.762,15.385,9.845,16.571,16.762,17.143,16.952,3.865,17.524,16.571,16.762,15.619,30.859,28.16,27.273,27.049,32.373,26.032,31.486,28.764,30.787,29.888,28.125,23.464,28.736,28.802,29.688,28.802,31.579,29.187,28.802,28.281,28.795,29.688,45.972,41.623,40.379,39.674,47.745,46.95,47.745,41.379,45.431,46.094,39.184,41.304,47.244,38.253,45.995,47.028,36.286,70.707,50.394,49.869,68.602,45.018,71.504,69.921,87.293,75.726,74.934,74.016,77.48,,90.501,85.827,100.0,79.156,89.744,53.824,56.51,29.365,18.47,16.887,19.634,20.051,17.678,19.048,18.254,5.056,20.643,20.533,20.8,21.849,3.318,3.318,12.749,3.286,19.571,21.809,17.568,20.294,19.372,24.096,19.895,19.948,0.0,19.582,20.725,22.222,11.924,11.48,9.798,14.286,14.286,15.135,0.0,14.286,14.106,12.755,12.755,12.343,12.718,11.94,11.715,6.62,6.62,13.876,13.158,11.111,11.111,13.368,13.625,10.859,13.704,12.562,12.379,0.0,14.568,10.742,14.428,7.071,13.861,10.035,11.94,6.842,11.795,0.0,13.575,16.954,13.447,14.425,14.951,8.935,3.955,3.955,12.195,6.383,0.0,13.48,0.0,32.197,24.121,8.156,13.699,15.676,12.329,11.973,9.091,12.586,15.68,30.0,19.509,17.207,14.677,14.975,18.228,18.564,13.577,10.469,0.0,15.522,15.522,13.995,14.249,14.249,9.506
OR67,49.219,25.6,31.716,41.036,20.952,3.54,16.262,14.563,20.952,21.333,8.735,19.92,21.333,18.286,9.091,20.381,19.038,14.767,20.19,20.381,20.762,20.952,3.865,21.333,20.381,20.571,19.429,30.859,32.151,31.042,27.049,36.585,31.429,35.033,32.809,34.382,33.708,32.589,29.05,33.333,33.41,33.705,32.949,36.364,33.971,33.41,32.805,32.589,34.152,49.289,46.597,45.528,45.38,53.05,53.316,53.581,47.215,50.914,51.563,47.755,42.955,53.018,44.88,51.68,52.713,33.073,70.707,56.168,55.381,74.67,49.466,77.309,76.781,87.293,83.113,82.322,85.039,84.987,90.501,,100.0,100.0,86.544,91.282,60.294,62.5,43.651,22.427,21.108,25.916,25.964,20.519,21.354,20.573,5.056,23.747,22.835,23.36,24.518,4.167,4.167,17.969,4.128,22.751,25.197,21.595,24.348,22.997,28.19,24.084,24.672,0.0,24.282,24.352,26.733,11.675,13.74,12.069,16.794,16.794,17.79,0.0,17.048,16.834,15.267,15.013,14.536,15.136,14.604,14.854,10.417,10.417,15.752,14.797,14.315,14.315,15.601,15.857,13.35,15.319,14.599,14.388,0.0,16.341,12.626,16.708,8.586,15.648,13.402,15.842,6.842,13.486,0.0,15.506,20.513,16.262,17.476,18.491,13.605,3.955,3.955,14.77,8.157,0.0,15.815,0.0,38.258,30.151,11.702,15.982,18.378,14.384,13.969,12.081,15.068,16.933,30.0,21.835,21.197,18.905,19.289,21.97,21.728,16.971,16.245,0.0,18.575,19.338,17.303,16.539,16.539,13.308
OR77,49.219,18.595,29.73,44.068,14.541,3.54,15.051,13.265,14.286,14.286,8.735,14.286,14.541,10.459,8.929,14.796,14.796,14.767,14.031,14.286,14.541,15.306,3.865,15.051,14.541,14.796,13.265,30.859,31.661,30.721,27.049,32.602,31.429,31.661,30.721,31.034,31.034,31.034,29.154,30.719,30.82,30.408,29.18,33.91,30.45,29.836,31.034,29.467,30.721,49.289,51.181,49.793,45.594,56.693,57.874,59.449,50.0,55.731,58.268,57.627,44.512,60.236,49.268,58.661,59.843,35.433,70.707,61.811,61.811,77.559,44.091,79.528,82.283,87.293,84.646,83.465,85.039,87.402,85.827,100.0,,100.0,89.37,91.282,65.354,70.079,43.651,14.902,17.255,20.703,20.703,14.729,15.116,14.341,5.056,16.996,16.078,16.471,17.722,4.167,4.167,17.969,4.128,16.27,17.323,16.929,16.535,17.323,21.327,15.234,17.647,0.0,18.824,18.533,22.485,5.405,9.69,10.078,11.628,11.628,12.712,0.0,10.853,10.646,10.465,9.69,9.594,9.191,8.425,10.909,10.417,10.417,10.37,8.889,8.908,8.908,11.719,11.719,11.765,9.94,8.647,8.647,0.0,10.566,10.566,9.848,8.586,9.774,11.364,13.281,6.842,8.955,0.0,10.667,16.425,12.03,11.94,13.109,12.36,3.955,3.955,10.409,7.74,0.0,11.61,0.0,37.302,31.148,11.702,13.333,16.59,11.228,11.228,11.702,13.333,16.736,30.0,20.0,11.985,13.433,13.846,14.662,14.179,13.962,15.649,0.0,14.885,14.885,14.122,11.45,11.832,13.359
OR109,49.219,7.101,25.876,31.111,6.897,3.54,7.21,5.016,7.21,6.897,6.583,6.897,6.583,4.702,7.21,7.21,7.21,7.21,6.583,6.897,6.583,6.897,3.865,6.897,6.27,6.583,4.702,29.675,27.642,26.016,27.049,27.236,26.423,26.829,26.016,26.423,26.016,26.016,26.016,24.464,24.569,26.423,24.569,29.63,25.0,24.569,26.423,25.203,24.797,50.829,50.829,48.81,43.085,58.564,58.564,60.773,47.514,58.333,61.326,64.444,57.143,62.983,46.212,59.669,61.326,49.724,70.707,64.088,64.088,81.768,39.237,83.978,83.978,87.293,87.293,85.635,85.083,88.398,100.0,100.0,100.0,,91.713,90.608,68.508,74.033,30.909,8.242,8.791,8.197,8.197,6.486,7.568,7.027,5.056,8.333,8.242,8.242,9.146,2.21,2.21,8.197,2.186,7.821,7.735,7.735,7.735,7.735,9.42,4.945,6.044,0.0,6.044,8.065,15.054,3.763,4.494,5.056,3.371,3.371,3.846,0.0,3.371,3.279,3.371,3.371,4.278,3.191,2.646,3.279,3.947,3.947,4.372,3.279,3.125,3.125,5.525,4.972,4.469,4.8,4.945,4.945,0.0,4.972,4.972,5.0,6.044,6.044,5.587,4.42,5.0,2.747,0.0,4.587,7.377,4.972,4.918,4.396,4.945,3.955,3.955,3.825,5.525,0.0,4.972,0.0,32.609,0.0,4.688,5.641,7.087,5.128,5.128,5.729,5.641,14.691,30.0,17.825,4.233,5.82,6.077,4.813,5.291,6.989,6.557,0.0,7.104,6.011,6.011,6.557,7.104,7.104
OR63,52.344,27.467,32.582,42.629,20.952,3.54,16.748,15.049,21.524,21.333,9.036,19.92,21.714,18.857,9.284,21.524,20.0,15.026,21.143,20.571,21.714,22.095,3.865,21.714,21.143,21.333,20.19,30.469,33.038,31.042,26.639,35.477,31.429,34.59,34.607,35.281,34.607,34.152,29.05,34.943,35.023,36.161,35.484,38.995,36.603,35.945,34.842,34.598,36.607,50.711,47.12,46.07,48.913,55.438,55.703,54.907,48.806,53.003,52.865,46.939,41.237,52.493,43.675,51.421,51.938,33.333,70.707,56.43,56.43,74.142,49.288,76.517,79.42,87.845,82.586,81.794,87.795,88.204,79.156,86.544,89.37,91.713,,96.923,61.471,63.281,43.651,24.011,21.9,26.44,26.221,22.338,22.656,22.135,5.618,25.594,25.197,24.672,25.895,4.167,4.167,17.188,4.128,23.28,24.409,20.266,24.058,21.705,27.3,25.131,25.197,0.0,25.065,25.389,26.733,11.675,13.74,12.644,16.285,16.285,17.251,0.0,16.285,16.08,15.522,15.013,16.291,17.618,16.832,16.318,10.069,10.069,14.797,14.32,13.088,13.088,15.601,16.113,15.113,15.957,15.815,15.588,0.0,16.341,13.131,15.479,9.091,17.359,12.715,18.317,6.842,15.013,0.0,15.73,20.513,16.505,18.204,18.005,14.966,4.52,4.52,14.286,7.553,0.0,16.058,0.0,37.121,31.156,10.638,15.525,17.568,15.068,14.634,11.409,15.068,17.891,30.952,21.447,21.197,19.154,19.543,21.465,22.469,18.016,17.329,0.0,20.611,20.102,19.338,19.084,18.83,15.589
OR88,49.219,12.022,27.013,42.373,9.61,3.54,9.61,7.508,9.61,9.309,9.036,9.309,9.309,4.805,9.91,9.91,9.91,9.91,9.009,9.61,8.709,9.91,3.865,9.91,9.009,9.309,7.508,29.688,30.0,28.462,26.639,29.615,28.846,28.846,28.846,28.846,28.462,28.077,27.308,26.721,26.829,28.077,26.423,31.739,27.391,26.829,28.462,26.923,27.692,51.282,53.333,51.648,46.04,58.974,60.0,61.026,49.744,58.247,58.462,64.407,56.19,61.538,45.205,59.487,60.513,45.128,69.697,62.564,64.103,78.974,39.37,81.026,86.154,86.74,87.692,86.154,88.205,89.744,89.744,91.282,91.282,90.608,96.923,,67.692,71.795,37.681,11.224,11.735,12.183,12.69,11.055,10.553,11.055,5.618,12.371,12.245,12.245,13.483,3.077,3.077,12.183,3.046,10.363,12.308,12.308,12.308,11.795,15.789,10.714,9.184,0.0,10.714,11.0,17.757,6.0,6.25,6.771,5.729,5.729,6.471,0.0,6.25,6.091,7.292,6.25,5.97,4.95,4.926,4.264,4.545,4.545,5.584,4.569,5.185,5.185,7.692,6.667,8.29,6.061,7.653,7.653,0.0,8.718,8.718,7.216,8.673,8.673,6.736,7.179,6.842,4.592,0.0,6.897,11.029,7.692,7.107,7.653,7.143,4.52,4.52,5.584,7.179,0.0,6.154,0.0,40.0,0.0,6.311,7.177,8.511,7.177,7.177,6.796,7.656,15.174,30.0,17.913,5.419,7.389,7.692,8.458,8.867,9.0,10.66,0.0,12.183,10.66,8.629,9.137,9.645,10.66
OR60,54.688,23.565,31.144,40.097,18.087,3.54,15.534,14.078,18.919,19.335,9.337,19.751,19.543,17.048,7.249,18.711,16.25,13.99,19.335,18.919,20.374,19.335,3.865,19.751,18.503,18.711,17.464,30.078,31.618,32.598,27.049,32.108,32.698,35.294,32.843,32.108,32.108,32.353,28.492,32.152,32.234,33.333,32.234,35.714,33.069,32.487,31.695,33.333,34.314,51.659,49.123,47.72,48.127,56.765,55.0,57.941,51.176,53.392,54.118,54.589,43.478,55.685,46.939,56.851,58.309,36.471,68.687,60.933,58.892,62.353,39.924,63.235,61.471,65.746,59.118,58.529,65.748,61.471,53.824,60.294,65.354,68.508,61.471,67.692,,70.882,42.857,19.477,20.058,22.899,21.739,17.867,17.579,18.156,5.618,19.591,17.733,20.64,21.779,6.019,6.019,16.406,5.963,19.355,21.866,18.937,20.408,19.534,23.0,22.319,23.547,0.0,23.256,22.126,25.191,10.482,13.636,13.506,14.773,14.773,15.758,0.0,15.057,14.846,16.477,15.057,14.56,13.425,12.842,13.52,10.069,10.069,13.6,14.133,13.288,13.288,13.314,13.881,12.821,14.387,14.088,13.859,0.0,15.512,12.429,14.167,8.081,14.917,12.715,15.493,5.263,11.538,0.0,12.846,19.408,15.427,17.808,18.132,14.966,4.52,4.52,12.842,8.459,0.0,15.659,0.0,31.818,29.032,11.702,15.762,18.809,15.245,14.75,12.752,13.695,17.414,28.571,22.993,18.508,19.835,20.282,18.942,20.222,18.106,15.523,0.0,17.697,16.292,14.888,16.292,16.854,15.209
